lifetime_gross,rank,studio,title,year
20919166,3239,WB,Shorts,2009
20915465,3240,BV,Super Mario Bros.,1993
20883046,3241,Uni.,Mr. Baseball,1992
20851521,3242,Gram.,Jason's Lyric,1994
20831000,3243,Uni.,Fear,1996
20811365,3244,Focus,The Kids Are All Right,2010
20810036,3245,STX,Free State of Jones,2016
20804166,3246,FoxA,The Hills Have Eyes 2,2007
20783704,3247,ORF,Sleepless,2017
20781385,3248,Fox,Say Anything,1989
20779666,3249,NM,Whale Rider,2003
20777061,3250,LGF,Blair Witch,2016
20774575,3251,PFR,God's Not Dead 2,2016
20766616,3252,Par.,The Dead Zone,1983
20763013,3253,Uni.,Jaws IV: The Revenge,1987
20738724,3254,Fox,Diary of a Wimpy Kid: The Long Haul,2017
20726034,3255,A24,The Disaster Artist,2017
20714400,3256,Fox,Julia (1977),1977
20710451,3257,WB,Hamlet (1990),1990
20700082,3258,Uni.,George A. Romero's Land of the Dead,2005
20698668,3259,SonR,Little Black Book,2004
20668843,3260,Over.,Mad Money,2008
20667959,3261,MGM,Speechless,1994
20659423,3262,Fox,The Man From Snowy River,1982
20642922,3263,Uni.,The Great Waldo Pepper,1975
20605209,3264,MGM,A Christmas Story,1983
20603715,3265,Orion,F/X,1986
20591853,3266,WB (NL),Keanu,2016
20578909,3267,BV,The Invisible,2007
20563273,3268,Par.,The Great Gatsby,1974
20534907,3269,LGF,Gamer,2009
20518905,3270,Fox,Porky's Revenge (Part III),1985
20497844,3271,STX,The Circle (2017),2017
20471382,3272,Fox,The Final Conflict: Omen III,1981
20458340,3273,Par.,Top Secret!,1984
20453431,3274,WB,The In-Laws,2003
20424259,3275,MGM,La Cage aux Folles,1979
20419446,3276,BV,Hello Again,1987
20408163,3277,Selz.,Duel in the Sun,1946
20396829,3278,Rela.,Brick Mansions,2014
20388920,3279,UA,F.I.S.T.,1978
20384136,3280,WB,Valentine,2001
20378470,3281,Uni.,Sgt. Pepper's Lonely Hearts Club Band,1978
20374484,3282,Sum.,The Three Musketeers (2011),2011
20351264,3283,WB,The Glimmer Man,1996
20350754,3284,MGM,Showgirls,1995
20350171,3285,Uni.,Sudden Death,1995
20345361,3286,Orion,Code of Silence,1985
20342852,3287,PicH,A Prairie Home Companion,2006
20342161,3288,Fox,Reno 911!: Miami,2007
20340204,3289,Sony,City Hall,1996
20324096,3290,Par.,The Presidio,1988
20308772,3291,Sony,John Carpenter's Vampires,1998
20307325,3292,MGM,Hot Dog... The Movie,1984
20305841,3293,Uni.,Jetsons: The Movie,1990
20305251,3294,Fox,Down with Love,2003
20300385,3295,Sony,The People Vs. Larry Flynt,1996
20300218,3296,Mira.,Gone Baby Gone,2007
20280016,3297,Uni.,The Cowboy Way,1994
20275446,3298,Sony,Premium Rush,2012
20264436,3299,W/Dim.,Pulse,2006
20259961,3300,Uni.,The Incredible Shrinking Woman,1981
20256975,3301,Lori,Action Jackson,1988
20255281,3302,FoxS,Our Family Wedding,2010
20246790,3303,Uni.,Mobsters,1991
20240502,3304,Par.,Critical Condition,1987
20240128,3305,BV,Stella,1990
20225989,3306,Fox,Six Pack,1982
20218921,3307,SGem,Country Strong,2010
20211394,3308,WB (NL),Appaloosa,2008
20208496,3309,BV,Another Stakeout,1993
20186659,3310,GrtIndia,Baahubali 2: The Conclusion,2017
20180155,3311,STX,The Secret in their Eyes (2015),2015
20164171,3312,NL,"Corrina, Corrina",1994
20158970,3313,Uni.,Dracula (1979),1979
20158898,3314,ORF,Homefront,2013
20158808,3315,WB,The Neverending Story,1984
20157300,3316,Uni.,Big Miracle,2012
20146880,3317,Par.,Juice,1992
20123742,3318,UA,Love and Death,1975
20123620,3319,MGM,My Favorite Year,1982
20109115,3320,Mira.,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
20093330,3321,Col.,Tess,1980
20080020,3322,Uni.,Flipper,1996
20069008,3323,Mira.,Down to You,2000
20059210,3324,TriS,Only You,1994
20050376,3325,Sony,Booty Call,1997
20047604,3326,BV,An Innocent Man,1989
20045115,3327,WB,Monty Python's Life of Brian,1979
20040895,3328,Rog.,Assault on Precinct 13,2005
20021322,3329,Fox,The Fly II,1989
20016254,3330,WB,With Honors,1994
20007149,3331,LGF,Middle School: The Worst Years of My Life,2016
20006730,3332,Fox,Prelude to a Kiss,1992
20005435,3333,BV,Taking Care of Business,1990
20000000,3334,BV,Escape to Witch Mountain,1975
20000000,3335,Col.,Eyes of Laura Mars,1978
19955598,3336,Uni.,The Life of David Gale,2003
19928200,3337,Fox,Unfaithfully Yours (1984),1984
19910002,3338,Orion,Breathless,1983
19889299,3339,BV,Mafia!,1998
19885552,3340,Par.,Fire in the Sky,1993
19875740,3341,TriS,Volunteers,1985
19870567,3342,Par.,Hard Rain,1998
19868354,3343,Oct.,The Apostle,1997
19853892,3344,WB,Altered States,1980
19806188,3345,LGF,The Spirit,2008
19798718,3346,MGM,Cruising,1980
19765868,3347,WB,Yu-Gi-Oh! The Movie,2004
19753553,3348,WB,Summer Catch,2001
19751736,3349,Par.,Vampire in Brooklyn,1995
19745922,3350,BV,Gone Fishin',1997
19740070,3351,BV,Betsy's Wedding,1990
19739575,3352,Par.,Young Sherlock Holmes,1985
19734940,3353,TriS,The Principal,1987
19733089,3354,WB,The Pledge,2001
19726050,3355,BV,Color of Night,1994
19703082,3356,Uni.,Same Time Next Year,1979
19701164,3357,Fox,Broken City,2013
19700032,3358,EC,Nine Lives (2016),2016
19699706,3359,Sony,Man of the House,2005
19676965,3360,Wein.,Nine,2009
19674852,3361,Fox,Skin Deep,1989
19661987,3362,Sony,Reign Over Me,2007
19652638,3363,Par.,Tucker: The Man and His Dream,1988
19629760,3364,Uni.,The Thing (1982),1982
19623396,3365,NL,8 Seconds,1994
19595168,3366,Uni.,The Seduction of Joe Tynan,1979
19595031,3367,Uni.,The Serpent and the Rainbow,1988
19551067,3368,Sum.,Astro Boy,2009
19528602,3369,MGM,Igor,2008
19510371,3370,WB,Police Academy 5: Assignment: Miami Beach,1988
19507345,3371,Col.,Hero,1992
19501238,3372,Sony,The Professional,1994
19490041,3373,Focus,The Eagle,2011
19481943,3374,Par.,Timeline,2003
19478106,3375,BV,Valiant,2005
19474589,3376,WB,It Takes Two,1995
19472057,3377,Par.,Friday the 13th Part VI,1986
19452138,3378,WB,Beautiful Creatures (2013),2013
19444631,3379,NW,House,1986
19440089,3380,BV,Doug's First Movie,1999
19438638,3381,NL,House Party 2,1991
19422319,3382,BV,Oceans,2010
19402030,3383,Sony,Saving Silverman,2001
19398532,3384,Uni.,The Producers,2005
19393557,3385,Par.,Wonder Boys,2000
19375982,3386,LGF,Shaun the Sheep Movie,2015
19363565,3387,SGem,Vacancy,2007
19319254,3388,Can.,Joe,1970
19316646,3389,Fox,Runner Runner,2013
19306362,3390,WB,Little Giants,1994
19297522,3391,Dim.,Cursed,2005
19288130,3392,BV,Summer of Sam,1999
19282134,3393,WB,Deathtrap,1982
19281235,3394,NL,House Party 3,1994
19265302,3395,Par.,Best Defense,1984
19221939,3396,MGM,Species II,1998
19219250,3397,LGF,My Best Friend's Girl,2008
19206207,3398,Focus,Race (2016),2016
19204929,3399,Sony,The Replacement Killers,1998
19202743,3400,BV,The Secret World of Arrietty,2012
19185184,3401,WB,Beerfest,2006
19184820,3402,Par.,Martin Lawrence Live: Runteldat,2002
19176754,3403,Uni.,Two Brothers,2004
19170001,3404,Par.,Friday the 13th Part VII,1988
19162740,3405,BV,Jonas Brothers: The 3D Concert Experience,2009
19161999,3406,BV,Tuck Everlasting,2002
19145198,3407,Par.,Mother (1996),1996
19131246,3408,BV,Blaze,1989
19104350,3409,Par.,The Bad News Bears in Breaking Training,1977
19103072,3410,Uni.,Georgia Rule,2007
19077641,3411,MGM,Hart's War,2002
19075720,3412,Sony,Johnny Mnemonic,1995
19075290,3413,LGF,"I, Frankenstein",2014
19074800,3414,FoxS,Waitress,2007
19068240,3415,Sum.,Remember Me,2010
19063544,3416,SK,Bugs! (IMAX),2003
19032261,3417,Par.,Mommie Dearest,1981
19030691,3418,NL,Bed of Roses,1996
19019882,3419,LG/S,The Impossible,2012
18999718,3420,Fox,Beneath the Planet of the Apes,1970
18994653,3421,TriS,Sniper,1993
18990798,3422,MGM,Rollerball,2002
18971000,3423,AmCi,The Octagon,1980
18942396,3424,Rela.,Haywire,2012
18937262,3425,BV,Kazaam,1996
18924919,3426,Fox,Cocoon: The Return,1988
18912328,3427,Par.,The Odd Couple II,1998
18898806,3428,MGM,Untamed Heart,1993
18877153,3429,Rela.,Shark Night 3D,2011
18875011,3430,TriS,The Seventh Sign,1988
18869631,3431,WB,Above the Law,1988
18869594,3432,MGM,Getting Even With Dad,1994
18848538,3433,LG/S,The Legend of Hercules,2014
18848430,3434,LGF,Akeelah and the Bee,2006
18844784,3435,Fox,The Marine,2006
18838812,3436,Par.,Paternity,1981
18826490,3437,WB,Under the Rainbow,1981
18801234,3438,Sony,Into the Blue,2005
18798590,3439,SPC,Thrill Ride (IMAX),1997
18784957,3440,Col.,Mortal Thoughts,1991
18782400,3441,TriS,Suspect,1987
18761993,3442,NL,The Upside of Anger,2005
18754371,3443,SPC,Still Alice,2015
18753438,3444,Orion,The Believers,1987
18730891,3445,LGF,The Choice,2016
18715392,3446,WB,Best in Show,2000
18707466,3447,MGM,Year of the Dragon,1985
18704595,3448,BST,Eye in the Sky,2016
18699037,3449,WB,Her Alibi,1989
18671317,3450,Col.,Casualties of War,1989
18670946,3451,Mira.,Becoming Jane,2007
18670401,3452,Fox,Anywhere But Here,1999
18661336,3453,Art.,The Ninth Gate,2000
18650521,3454,Imax,Michael Jordan to the Max (IMAX),2000
18644570,3455,Fox,Blame It on Rio,1984
18636537,3456,Sony,The Quick and the Dead,1995
18635620,3457,Col.,Geronimo: An American Legend,1993
18634643,3458,BV,Paradise (1991),1991
18626419,3459,Sony,The Fan,1996
18622031,3460,Uni.,Frost/Nixon,2008
18620000,3461,LG/S,Man on a Ledge,2012
18600152,3462,WB,CHiPs,2017
18600000,3463,WB,Alice Doesn't Live Here Anymore,1974
18597342,3464,Fox,Aquamarine,2006
18587135,3465,Orion,Prancer,1989
18583744,3466,Imax,Galapagos (IMAX),1999
18564613,3467,BV,Flight of the Navigator,1986
18553948,3468,Par.,Some Kind of Wonderful,1987
18542974,3469,Mira.,An Ideal Husband,1999
18535812,3470,SGem,Ultraviolet,2006
18532286,3471,Fox,Project X (1987),1987
18494006,3472,LGF,You're Next,2013
18492362,3473,FoxS,Super Troopers,2002
18471850,3474,WB,Singles,1992
18451251,3475,WB,The Invention of Lying,2009
18450127,3476,P/DW,A Thousand Words,2012
18432000,3477,WB,Ladyhawke,1985
18428904,3478,Fox,The Fabulous Baker Boys,1989
18390117,3479,Wein.,Quartet,2013
18389402,3480,Par.,Prophecy,1979
18354356,3481,ParV,Into the Wild,2007
18344729,3482,UA,Sleeper,1973
18337722,3483,WB,North Country,2005
18335230,3484,FoxS,127 Hours,2010
18324258,3485,Sony,Only The Brave,2017
18319860,3486,Uni.,Babe: Pig in the City,1998
18317151,3487,Sony,Walk Hard: The Dewey Cox Story,2007
18306166,3488,Par.,The Four Feathers,2002
18302607,3489,BV,Fright Night (2011),2011
18301610,3490,BV,That Darn Cat,1997
18300124,3491,Par.,Paranormal Activity: The Ghost Dimension,2015
18289763,3492,Gram.,Posse,1993
18272894,3493,WB,Love Affair,1994
18254702,3494,Orion,Crimes and Misdemeanors,1989
18253415,3495,BV,Simon Birch,1998
18250550,3496,NL,Harold and Kumar Go to White Castle,2004
18244060,3497,DW,The Last Castle,2001
18225518,3498,Fox,Sugar Hill,1994
18211013,3499,Par.,Next,2007
18196170,3500,Uni.,Dead Men Don't Wear Plaid,1982
18150259,3501,Sony,The Glass House,2001
18137661,3502,Par.,Milk Money,1994
18135531,3503,MGM,The Sure Thing,1985
18119640,3504,WB,Chernobyl Diaries,2012
18115927,3505,NL,Last Man Standing,1996
18115724,3506,BV,Duck Tales: The Movie,1990
18098433,3507,BV,Pooh's Heffalump Movie,2005
18090181,3508,NL,Wes Craven's New Nightmare,1994
18034150,3509,Col.,"Jo Jo Dancer, Your Life is Calling",1986
18016290,3510,UA,"Everything You Always Wanted to Know About Sex, But Were Afraid to Ask",1972
18007317,3511,Focus,Admission,2013
18000000,3512,BV,The Aristocats (Re-issue) (1980),1980
18000000,3513,BV,Herbie Goes Bananas,1980
17985893,3514,Emb,The Howling,1981
17957265,3515,Fox,Used People,1992
17953778,3516,Uni.,CB4,1993
17952857,3517,BV,Born Yesterday,1993
17917287,3518,Mira.,The Crow: City of Angels,1996
17872723,3519,DW,The Contender,2000
17871255,3520,NL,Laws of Attraction,2004
17860280,3521,Fox,For the Boys,1991
17854933,3522,Col.,Sibling Rivalry,1990
17845337,3523,Fox,Drive Me Crazy,1999
17844216,3524,SonR,Punch-Drunk Love,2002
17815212,3525,WB,Honeysuckle Rose,1980
17807569,3526,MGM/W,School for Scoundrels,2006
17804299,3527,WB (NL),Going the Distance,2010
17800004,3528,Par.,mother!,2017
17782178,3529,BG,Bad Santa 2,2016
17781006,3530,WB,A Mighty Wind,2003
17780194,3531,BV,Bears,2014
17771387,3532,DW,Eurotrip,2004
17768900,3533,Can.,The Delta Force,1986
17768757,3534,Gal.,Halloween 4: The Return of Michael Myers,1988
17766658,3535,Uni.,Steve Jobs,2015
17762705,3536,MGM,The Rage: Carrie 2,1999
17742948,3537,LG/S,The Perks of Being a Wallflower,2012
17737646,3538,RAtt.,Mr. Holmes,2015
17736619,3539,BV,The Big Green,1995
17732000,3540,Fox,For the Love of Benji,1977
17689177,3541,BV,Heavyweights,1995
17687709,3542,W/Dim.,Apollo 18,2011
17685307,3543,Col.,The Big Easy,1987
17669317,3544,Mira.,My Baby's Daddy,2004
17657973,3545,PicH,Kit Kittredge: An American Girl,2008
17654912,3546,Par.,Nebraska,2013
17637950,3547,WB,Frantic,1988
17630465,3548,Sum.,Furry Vengeance,2010
17626234,3549,WB,The Postman,1997
17616641,3550,FD,Parker,2013
17613720,3551,Fox,Max Dugan Returns,1983
17609452,3552,LGF,Hostel Part II,2007
17606684,3553,FoxS,The Last King of Scotland,2006
17600423,3554,Uni.,Empire,2002
17583634,3555,MGM,Eye of the Needle,1981
17573594,3556,Focus,Deliver Us from Eva,2003
17571660,3557,Focus,The Zookeeper's Wife,2017
17569027,3558,Emb,Take This Job and Shove It,1981
17550872,3559,FoxS,Enough Said,2013
17550399,3560,Orion,Johnny Be Good,1988
17536256,3561,Can.,Invasion U.S.A.,1985
17530973,3562,Uni.,The Babe,1992
17529157,3563,ORF,Silent Hill: Revelation 3D,2012
17519169,3564,Par.,Home for the Holidays,1995
17514980,3565,MGM,Disturbing Behavior,1998
17514553,3566,TriS,For Keeps,1988
17513452,3567,WB,Lassiter,1984
17510118,3568,FoxS,Notes on a Scandal,2006
17506470,3569,ORF,Dope,2015
17488564,3570,NW,Angel,1984
17487531,3571,Uni.,White Palace,1990
17480890,3572,WB,Red Planet,2000
17460020,3573,Uni.,Half Baked,1998
17452658,3574,BV,The Aristocats (Re-issue) (1987),1987
17451873,3575,Gram.,The Big Lebowski,1998
17450535,3576,Uni.,Wanderlust,2012
17432844,3577,P/DW,The Ruins,2008
17418667,3578,W/Dim.,Dark Skies,2013
17390770,3579,LGF,Addicted,2014
17388350,3580,WB,Father Figures,2017
17381942,3581,WB,Murder in the First,1995
17380866,3582,FoxS,Roll Bounce,2005
17380126,3583,Sony,Extreme Measures,1996
17374595,3584,WB,Outland,1981
17373527,3585,WB,The Neverending Story II,1991
17368022,3586,Rela.,Masterminds (2016),2016
17359799,3587,Col.,My Girl 2,1994
17355263,3588,Uni.,Born in East L.A.,1987
17343596,3589,Atl,Valley Girl,1983
17336370,3590,Can.,Masters of the Universe,1987
17329486,3591,ORF,A Haunted House 2,2014
17326650,3592,Fox,Just My Luck,2006
17323326,3593,Par.,The Phantom,1996
17322606,3594,WB,Eight Legged Freaks,2002
17320136,3595,Fox,Miracle on 34th Street (1994),1994
17307019,3596,MGM,To Live and Die in L.A.,1985
17303424,3597,WB (NL),Inkheart,2009
17294293,3598,BV,Max Keeble's Big Move,2001
17287898,3599,Sav.,A Bronx Tale,1993
17273059,3600,LGF,The Glass Castle,2017
17266359,3601,DW,Small Time Crooks,2000
17266000,3602,Focus,Eastern Promises,2007
17237855,3603,RAtt.,A Most Wanted Man,2014
17233166,3604,Fox,All the Right Moves,1983
17231291,3605,SGem,Fired Up,2009
17223265,3606,Uni.,Seventh Son,2015
17218080,3607,TriS,Hudson Hawk,1991
17218023,3608,WB,The Mission,1986
17213467,3609,Sony,88 Minutes,2008
17200925,3610,Sony,Center Stage,2000
17193231,3611,MGM,Fled,1996
17185632,3612,TriS,Angel Heart,1987
17180393,3613,Triu,Sidekicks,1993
17142080,3614,LGF,Safe (2012),2012
17130087,3615,Orion,The Falcon and the Snowman,1985
17129026,3616,WB,Freejack,1992
17127992,3617,BV,Annapolis,2006
17124395,3618,Fox,Johnny Dangerously,1984
17108591,3619,SPC,Kung Fu Hustle,2005
17105219,3620,BV,Rushmore,1998
17100266,3621,WB,Diabolique (1996),1996
17092453,3622,Par.,Pet Sematary II,1992
17083732,3623,Rog.,Seed of Chucky,2004
17080167,3624,Uni.,Firestarter,1984
17071962,3625,DW,Win a Date with Tad Hamilton!,2004
17062499,3626,LGF,Norm of the North,2016
17052128,3627,WB,Pokemon 3: The Movie,2001
17044981,3628,Lions,The Devil's Rejects,2005
17040871,3629,BV,Ghosts of the Abyss (IMAX & 35mm),2003
17037887,3630,Uni.,The Guardian (1990),1990
17018422,3631,NL,Son of the Mask,2005
17017811,3632,Sum.,The Hurt Locker,2009
17014653,3633,Sony,Jury Duty,1995
17010170,3634,WB,Splice,2010
17008282,3635,WB,Rock Star,2001
17005229,3636,IsAl,Kiss of the Spider Woman,1985
17001133,3637,Uni.,Wimbledon,2004
16990825,3638,BV,The Country Bears,2002
16973715,3639,Fox,The Counselor,2013
16970581,3640,NL,Boiler Room,2000
16943454,3641,Sony,Go,1999
16937988,3642,BV,crazy/beautiful,2001
16930185,3643,Par.,Serving Sara,2002
16928670,3644,Uni.,The Thing (2011),2011
16928556,3645,Uni.,The War,1994
16928137,3646,Par.,The One and Only,1978
16897768,3647,Emb,Zapped!,1982
16894678,3648,FVI,They Call Me Bruce,1982
16883115,3649,Sony,Flatliners (2017),2017
16853487,3650,MGM,Death Warrant,1990
16850600,3651,SGem,Proud Mary,2018
16827402,3652,Fox,Baby's Day Out,1994
16821273,3653,Sav.,Lightning Jack,1994
16820893,3654,Par.,Andre,1994
16815253,3655,NL,Lost Souls,2000
16809076,3656,Uni.,Dead Silence,2007
16809014,3657,Fox,Rebound,2005
16797191,3658,Par.,Bringing Out the Dead,1999
16790139,3659,Annapurna,Detroit,2017
16781387,3660,Focus,The Motorcycle Diaries,2004
16759216,3661,Uni.,The Frighteners,1996
16757163,3662,Mira.,54,1998
16734283,3663,LGF,New in Town,2009
16703799,3664,Fox,Catch That Kid,2004
16696219,3665,NL,Blink,1994
16685867,3666,SPC,To Rome with Love,2012
16667084,3667,Uni.,Tremors,1990
16656125,3668,Par.,Rough Cut,1980
16655224,3669,WB,Unaccompanied Minors,2006
16649768,3670,WB,True Crime,1999
16647800,3671,MGM,The Final Countdown,1980
16639799,3672,NL,Deep Cover,1992
16625807,3673,Sony,Muppets from Space,1999
16624456,3674,Fox,Buffy the Vampire Slayer,1992
16621530,3675,NWav,Wild Safari 3D (IMAX),2005
16595791,3676,Orion,Beat Street,1984
16589540,3677,Uni.,Heart and Souls,1993
16574176,3678,Uni.,That Old Feeling,1997
16554699,3679,Uni.,Shocker,1989
16535005,3680,Uni.,The Perfect Man,2005
16534221,3681,MGM,Original Sin,2001
16519460,3682,Col.,Krull,1983
16500786,3683,Dest.,Eye of the Beholder,2000
16491080,3684,Mira.,Trainspotting,1996
16487349,3685,BV,Terminal Velocity,1994
16478265,3686,Col.,Spacehunter: Adventures in the Forbidden Zone,1983
16472961,3687,Rog.,The Hitcher (2007),2007
16453258,3688,NL,Monkey Trouble,1994
16432322,3689,BV,Monkey Kingdom,2015
16424918,3690,Fox,Breaking Away,1979
16400000,3691,UA,"New York, New York",1977
16393000,3692,BV,Return from Witch Mountain,1978
16383509,3693,Uni.,Elizabeth: The Golden Age,2007
16377274,3694,Wein.,The Master,2012
16371128,3695,WB,Defending Your Life,1991
16361885,3696,WB,Sergeant York,1941
16357770,3697,WB,White Oleander,2002
16337355,3698,WB,Burglar,1987
16328471,3699,WB,The Whole Ten Yards,2004
16324573,3700,Par.,Tales From the Darkside: The Movie,1990
16316273,3701,Par.,A Simple Plan ,1998
16311571,3702,Par.,Young Adult,2011
16298046,3703,Free,An American Haunting,2006
16295774,3704,Uni.,Howard the Duck,1986
16290476,3705,Focus,21 Grams,2003
16289867,3706,BV,Swing Vote,2008
16278590,3707,TriS,Chances Are,1989
16274150,3708,Par.,The Hunter,1980
16273581,3709,MGM/W,Black Christmas (2006),2006
16270600,3710,Mira.,Supercop,1996
16262415,3711,WB,Crossing Delancey,1988
16247964,3712,Triu,Men at Work,1990
16228448,3713,WB,Fire Down Below,1997
16209459,3714,DEG,Raw Deal,1986
16204793,3715,Fox,Jennifer's Body,2009
16192320,3716,NL,Above the Rim,1994
16188180,3717,W/Dim.,Wolf Creek,2005
16186793,3718,TriS,I Love You to Death,1990
16170632,3719,Wein.,Begin Again,2014
16156776,3720,Col.,Richard Pryor: Here and Now,1983
16153593,3721,Uni.,Mo' Better Blues,1990
16140822,3722,Sony,Devil in a Blue Dress,1995
16136476,3723,Focus,Vanity Fair,2004
16134627,3724,Uni.,D.C. Cab,1983
16131410,3725,ORF,Jobs,2013
16124543,3726,Lions,Waiting...,2005
16123323,3727,Par.,Imagine That,2009
16118077,3728,UA,"Bright Lights, Big City",1988
16116878,3729,Can.,Death Wish 3,1985
16115878,3730,Dim.,The Prophecy,1995
16101339,3731,Wein.,Fruitvale Station,2013
16100000,3732,Film,Death Wish II,1982
16094974,3733,Uni.,The Getaway (1994),1994
16093651,3734,NL,No Holds Barred,1989
16071990,3735,FoxS,A Midsummer Night's Dream,1999
16067035,3736,UA,Dr. No,1963
16057580,3737,WB,Over the Top,1987
16044025,3738,Mira.,Adventureland,2009
16037962,3739,Fox,Kung Pow! Enter the Fist,2002
16031707,3740,Par.,She's Having a Baby,1988
16029670,3741,EC,The Transporter Refueled,2015
16025437,3742,Lions,O,2001
16015639,3743,SPC,Across the Sea of Time (IMAX),1995
16008272,3744,Rela.,The Raven,2012
16007718,3745,Mira.,Confessions of a Dangerous Mind,2002
16000000,3746,BV,The Devil and Max Devlin,1981
15988876,3747,SGem,Armored,2009
15973881,3748,LGF,Tyler Perry's The Single Moms Club,2014
15965924,3749,MGM,Caveman,1981
15962471,3750,Sony,Marie Antoinette,2006
15945534,3751,Col.,Armed and Dangerous,1986
15942628,3752,WB,Next of Kin,1989
15935068,3753,NL,Jason Goes to Hell: The Final Friday,1993
15934737,3754,MGM,Hero at Large,1980
15933506,3755,Dest.,Thomas and the Magic Railroad,2000
15923122,3756,Sony,Dance with Me,1998
15901849,3757,Focus,Far From Heaven,2002
15861566,3758,FoxS,The Birth of a Nation,2016
15856028,3759,Orion,Gorky Park,1983
15855828,3760,MGM,Masquerade,1988
15821461,3761,Fox,Devil's Due,2014
15815025,3762,WB,12 Strong,2018
15800078,3763,ParV,The Kite Runner,2007
15795189,3764,UA,The Long Riders,1980
15789389,3765,Fox,Eddie the Eagle,2016
15782759,3766,Fox,Kiss Me Goodbye,1982
15778152,3767,SGem,The Gospel,2005
15769322,3768,Par.,Black Sunday,1977
15749959,3769,WB,3000 Miles to Graceland,2001
15740796,3770,Triu,Avalon,1990
15740721,3771,WB (NL),Pride & Glory,2008
15738769,3772,Live,Wishmaster,1997
15716828,3773,Uni.,The Island (1980),1980
15714234,3774,Fox,Paparazzi,2004
15704614,3775,MGM,Leviathan,1989
15700729,3776,Par.,Once Is Not Enough,1975
15700000,3777,Uni.,High Plains Drifter,1973
15691192,3778,WB,The Bonfire of the Vanities,1990
15681020,3779,WB,Superman IV: The Quest for Peace,1987
15680099,3780,LGF,Larry the Cable Guy: Health Inspector,2006
15667270,3781,NL,Life as a House,2001
15645616,3782,Col.,Revenge,1990
15634090,3783,Uni.,The Man with the Iron Fists,2012
15627434,3784,SPC,Cirque du Soleil: Journey of Man (IMAX),2000
15618626,3785,Sony,Loser,2000
15614000,3786,Mira.,View from the Top,2003
15589393,3787,LGF,Happily N'Ever After,2007
15578237,3788,Uni.,Continental Divide,1981
15567860,3789,Sony,Half Past Dead,2002
15565363,3790,BV,Billy Bathgate,1991
15556340,3791,Istr,Highlander 2: The Quickening,1991
15553324,3792,WGB.,Shackleton's Antarctic Adventure (IMAX),2001
15550605,3793,Dim.,My Boss's Daughter,2003
15545943,3794,WB,Switch,1991
15545431,3795,MGM,A Guy Thing,2003
15543710,3796,Par.,Cheech & Chong Still Smokin',1983
15541549,3797,Sum.,The Ghost Writer,2010
15540353,3798,Mira.,All the Pretty Horses,2000
15539656,3799,FoxS,In America,2003
15539051,3800,Sony,Catch and Release,2007
15515460,3801,Uni.,A Perfect Getaway,2009
15514367,3802,MGM,Corvette Summer,1978
15506764,3803,Dest.,Drowning Mona,2000
15502112,3804,Uni.,Legend,1986
15453274,3805,BV,Mad Love,1995
15448384,3806,UA,Youngblood,1986
15448043,3807,BV,Rocket Man,1997
15445131,3808,WB,Reversal of Fortune,1990
15436808,3809,BG,The Infiltrator,2016
15429177,3810,Uni.,A Kiss Before Dying,1991
15428747,3811,BV,African Cats,2011
15418790,3812,Fox,Wrong Turn,2003
15379253,3813,BV,Mr. Destiny,1990
15369573,3814,BV,Spaced Invaders,1990
15351421,3815,Orion,She-Devil,1989
15339030,3816,Sav.,No Escape,1994
15337393,3817,BV,The Greatest Game Ever Played,2005
15325127,3818,WB,Bait,2000
15322921,3819,Uni.,About Time,2013
15318863,3820,NL,Jackie Chan's First Strike,1997
15315484,3821,Par.,Stephen King's Thinner,1996
15309602,3822,Uni.,Alpha Dog,2007
15298133,3823,LGF,Bangkok Dangerous,2008
15284643,3824,MGM,Hair,1979
15281286,3825,W/Dim.,Youth in Revolt,2010
15260154,3826,WB,Quick Change,1990
15240435,3827,Fox,Bad Girls,1994
15238689,3828,Gold.,The Madness of King George,1994
15220685,3829,NL,Dungeons & Dragons,2000
15206108,3830,STX,Den of Thieves,2018
15198912,3831,WB,First Family,1980
15185672,3832,Col.,Needful Things,1993
15179302,3833,CBS,The Last Exorcism Part II,2013
15171476,3834,Par.,Grease 2,1982
15164492,3835,NL,The Corruptor,1999
15164458,3836,WB,Pure Country,1992
15160801,3837,CE,And So It Goes,2014
15151736,3838,NW,Flowers in the Attic,1987
15132763,3839,MGM/W,Arthur and the Invisibles,2006
15122676,3840,ParV,"The Goods: Live Hard, Sell Hard",2009
15122324,3841,Par.,Big Top Pee-Wee,1988
15119639,3842,Mira.,Muriel's Wedding,1995
15116634,3843,Dim.,Halloween: The Curse of Michael Myers,1995
15104156,3844,BV,Shipwrecked,1991
15101131,3845,TriS,Breakin' 2: Electric Boogaloo,1984
15094530,3846,NL,The Adventures of Pinocchio,1996
15090399,3847,BV,Ponyo,2009
15074191,3848,WB,The Invasion,2007
15073942,3849,TriS,Toy Soldiers,1991
15070285,3850,Lions,American Psycho,2000
15064946,3851,Par.,Dead Man on Campus,1998
15057465,3852,Can.,King Solomon's Mines,1985
15055091,3853,Par.,Twilight (1998),1998
15054636,3854,SPC,Wings of Courage (IMAX),1995
15051977,3855,WB,The Box,2009
15032800,3856,LGF,See No Evil,2006
15026056,3857,Wein.,Killing Them Softly,2012
15024049,3858,CBS,Seven Psychopaths,2012
