lifetime_gross,rank,studio,title,year
234037575,133,WB,Fantastic Beasts and Where To Find Them,2016
233921534,134,Fox,X-Men: Days of Future Past,2014
233632142,135,Fox,Cast Away,2000
232906145,136,WB,The Exorcist,1973
232641920,137,BV,Doctor Strange,2016
229086679,138,Uni.,The Lost World: Jurassic Park,1997
228778661,139,Par.,Star Trek Into Darkness,2013
228433663,140,Fox,The Martian,2015
227966634,141,BV,Signs,2002
227946274,142,Sony,Hancock,2008
227702179,143,WB,Justice League,2017
227471070,144,Uni.,The Bourne Ultimatum,2007
226277068,145,Fox,Logan,2017
226164286,146,NL,Rush Hour 2,2001
226008385,147,Uni.,The Fate of the Furious,2017
223808164,148,BV,WALL-E,2008
222527828,149,BV,Big Hero 6,2014
219964115,150,BV,National Treasure: Book of Secrets,2007
219614612,151,Fox,Alvin and the Chipmunks: The Squeakquel,2009
219195243,152,Fox,Mrs. Doubtfire,1993
218967620,153,BV,Beauty and the Beast,1991
218815487,154,Uni.,Ted,2012
218080025,155,Uni.,King Kong,2005
217631306,156,Par.,Ghost,1990
217581231,157,P/DW,How to Train Your Dragon,2010
217536138,158,Sony,The Da Vinci Code,2006
217350219,159,BV,Aladdin,1992
217326974,160,Fox,Alvin and the Chipmunks,2007
216540909,161,DW,Saving Private Ryan,1998
216391482,162,P/DW,Madagascar 3: Europe's Most Wanted,2012
215434591,163,P/DW,Kung Fu Panda,2008
215409889,164,Par.,Mission: Impossible II,2000
214949694,165,Fox,X2: X-Men United,2003
214030500,166,Uni.,Dr. Seuss' The Lorax,2012
213307889,167,NL,Austin Powers in Goldmember,2002
210614939,168,WB,300,2007
210609762,169,Uni.,Back to the Future,1985
209837675,170,Uni.,Fast Five,2011
209397903,171,Par.,Mission: Impossible - Ghost Protocol,2011
209255921,172,NL,Wedding Crashers,2005
209028679,173,WB,Sherlock Holmes,2009
208545589,174,Fox,Dawn of the Planet of the Apes,2014
206852432,175,WB,Batman Begins,2005
206459076,176,WB,Charlie and the Chocolate Factory,2005
206445654,177,BV,Ratatouille,2007
206362140,178,BV,Thor: The Dark World,2013
206040086,179,NL,Austin Powers: The Spy Who Shagged Me,1999
205881154,180,TriS,Terminator 2: Judgment Day,1991
202853933,181,Sony,The Amazing Spider-Man 2,2014
202359711,182,Par.,World War Z,2013
202019785,183,Uni.,The Mummy Returns,2001
201578182,184,BV,Armageddon,1998
201151353,185,BV,Cinderella (2015),2015
200821936,186,BV,Tangled,2010
200726972,187,BV,Coco,2017
200676069,188,WB,Godzilla (2014),2014
200081192,189,WB,Superman Returns,2006
200074609,190,Sony,Spectre,2015
198676459,191,MGM,Gone with the Wind,1939
198542554,192,BV,Pearl Harbor,2001
198351526,193,P/DW,Monsters Vs. Aliens,2009
198000317,194,WB,Happy Feet,2006
197171806,195,Par.,Indiana Jones and the Last Crusade,1989
196573705,196,Fox,Ice Age: Dawn of the Dinosaurs,2009
195330621,197,Fox,Ice Age: The Meltdown,2006
195042377,198,Par.,Mission: Impossible - Rogue Nation,2015
193595521,199,DW,Madagascar,2005
192769854,200,Sum.,Twilight,2008
191796233,201,BV,Toy Story,1995
191719337,202,Sony,22 Jump Street,2014
191452396,203,BV,Cars 2,2011
191204754,204,Par.,Teenage Mutant Ninja Turtles (2014),2014
190418803,205,Sony,Men in Black II,2002
189422889,206,BV,Wreck-It Ralph,2012
188755690,207,Par.,Grease,1978
188373161,208,WB,Dunkirk,2017
188020017,209,Par.,Interstellar,2014
187705427,210,DW,Gladiator,2000
187168425,211,Fox,The Croods,2013
186848418,212,WB,Sherlock Holmes: A Game of Shadows,2011
186740799,213,Fox,The Day After Tomorrow,2004
186493472,214,WB,The Polar Express,2004
186336279,215,Fox,Mr. & Mrs. Smith,2005
184925486,216,Dis.,Snow White and the Seven Dwarfs,1937
184296230,217,Uni.,Pitch Perfect 2,2015
184208848,218,Orion,Dances with Wolves,1990
184031112,219,WB,Batman Forever,1995
183875760,220,WB,The Fugitive,1993
183637894,221,Fox,The Revenant,2015
183417150,222,WB,Ocean's Eleven,2001
183135014,223,Fox,The Simpsons Movie,2007
182811707,224,Par.,What Women Want,2000
182618434,225,WB,The Perfect Storm,2000
182207973,226,BV,Lincoln,2012
181410615,227,Uni.,Liar Liar,1997
181171875,228,Uni.,Jurassic Park III,2001
181030624,229,Par.,Thor,2011
180981856,230,Par.,Mission: Impossible,1996
180202163,231,BV,Ant-Man,2015
180011740,232,Fox,Planet of the Apes (2001),2001
180010950,233,P/DW,Madagascar: Escape 2 Africa,2008
179883157,234,Fox,X-Men Origins: Wolverine,2009
179870271,235,Par.,Indiana Jones and the Temple of Doom,1984
179800601,236,Par.,Top Gun,1986
179495555,237,Sony,Hitch,2005
179020854,238,Sony,MIB 3,2012
178406268,239,BV,Pretty Woman,1990
177397510,240,Fox,Home (2015),2015
177243721,241,Fox,Night at the Museum: Battle of the Smithsonian,2009
177200000,242,Col.,Tootsie,1982
177002924,243,Fox,How to Train Your Dragon 2,2014
176760185,244,Fox,Rise of the Planet of the Apes,2011
176654505,245,Par.,Captain America: The First Avenger,2011
176591618,246,Sony,The Karate Kid,2010
176484651,247,Fox,There's Something About Mary,1998
176387405,248,Fox,Ice Age,2002
176241941,249,Uni.,The Bourne Supremacy,2004
175750384,250,WB,The LEGO Batman Movie,2017
175686870,251,Uni.,Get Out,2017
175003033,252,Fox,The Boss Baby,2017
174803506,253,Par.,Crocodile Dundee,1986
173837933,254,Uni.,Apollo 13,1995
173585516,255,Fox,Home Alone 2: Lost in New York,1992
173398518,256,NL,Elf,2003
173008894,257,BV,National Treasure,2004
172956409,258,Sony,Air Force One,1997
172825435,259,MGM,Rain Man,1988
172558876,260,BV,Pirates of the Caribbean: Dead Men Tell No Tales,2017
172062763,261,BV,Tron Legacy,2010
171479930,262,WB,The Matrix,1999
